,case:id,case:concept:name,concept:name,Variant,time:timestamp,Question,Report,Year,Category,Type,Tupla,Organization
31,A35 P2 BPI 2020,A35 P2 BPI 2020,Group traces,Group traces depending on attributes,2021-11-20 16:37:02.248560,P2,A35,2020,Professional,Manipulation,A352020,
32,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent histograms,Represent histograms of attributes,2021-11-20 17:37:02.248560,P2,A35,2020,Professional,Representation,A352020,
33,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-11-20 18:37:02.248560,P2,A35,2020,Professional,Representation,A352020,
34,A35 P2 BPI 2020,A35 P2 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-20 19:37:02.248560,P2,A35,2020,Professional,Representation,A352020,
35,A35 P2 BPI 2020,A35 P2 BPI 2020,Filter traces,Filter traces by activities,2021-11-20 20:37:02.248560,P2,A35,2020,Professional,Manipulation,A352020,
36,A35 P2 BPI 2020,A35 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-20 21:37:02.248560,P2,A35,2020,Professional,Analyze Cycle Time,A352020,
37,A37 P2 BPI 2020,A37 P2 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-20 22:37:02.248560,P2,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
38,A37 P2 BPI 2020,A37 P2 BPI 2020,Compare cycle time,Compare cycle time,2021-11-20 23:37:02.248560,P2,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
39,A2 P4 BPI 2020,A2 P4 BPI 2020,Filter activities,Filter activities by sub-processes,2021-11-21 00:37:02.248560,P4,A2,2020,Student,Manipulation,A22020,FacultyofScienceUtrechtUniversity
40,A2 P4 BPI 2020,A2 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-11-21 01:37:02.248560,P4,A2,2020,Student,Manipulation,A22020,FacultyofScienceUtrechtUniversity
41,A2 P4 BPI 2020,A2 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-11-21 02:37:02.248560,P4,A2,2020,Student,Analyze Cycle Time,A22020,FacultyofScienceUtrechtUniversity
42,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by role,2021-11-21 03:37:02.248560,P4,A7,2020,Academic,Manipulation,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
43,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate throughput,Calculate throughput,2021-11-21 04:37:02.248560,P4,A7,2020,Academic,Analyze Cycle Time,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
44,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by time,2021-11-21 05:37:02.248560,P4,A7,2020,Academic,Manipulation,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
45,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-21 06:37:02.248560,P4,A7,2020,Academic,Calculate statistics,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
46,A7 P4 BPI 2020,A7 P4 BPI 2020,Represent scatterplot,Represent scatterplot,2021-11-21 07:37:02.248560,P4,A7,2020,Academic,Representation,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
47,A10 P4 BPI 2020,A10 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-21 08:37:02.248560,P4,A10,2020,Academic,Representation,A102020,InternalAuditDepartmentRostovonDon
48,A10 P4 BPI 2020,A10 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 09:37:02.248560,P4,A10,2020,Academic,Analyze Cycle Time,A102020,InternalAuditDepartmentRostovonDon
