,case:concept:name,General activity,Specific activity,Time,Question,Year
57,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-07-07 17:27:37.123696,P4,2020
58,A25 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.138092,P4,2020
59,A26 P4 BPI 2020,Filter variants depending on frequency, ,2021-07-07 17:27:37.159733,P4,2020
60,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:37.180120,P4,2020
61,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:37.198649,P4,2020
62,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:37.209709,P4,2020
63,A28 P4 BPI 2020,Represent heatmaps, ,2021-07-07 17:27:37.240793,P4,2020
64,A28 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.254905,P4,2020
65,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:37.274802,P4,2020
66,A28 P4 BPI 2020,Represent heatmaps, ,2021-07-07 17:27:37.293909,P4,2020
67,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:37.304067,P4,2020
68,A28 P4 BPI 2020,Represent heatmaps, ,2021-07-07 17:27:37.335892,P4,2020
69,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:37.362116,P4,2020
70,A28 P4 BPI 2020,Represent heatmaps, ,2021-07-07 17:27:37.385813,P4,2020
71,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:37.405160,P4,2020
72,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:37.424414,P4,2020
73,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-07-07 17:27:37.452461,P4,2020
74,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:37.478912,P4,2020
75,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:37.494863,P4,2020
76,A35 P4 BPI 2020,Calculate average of activities per trace, ,2021-07-07 17:27:37.523838,P4,2020
77,A35 P4 BPI 2020,Group traces,Group traces by roles,2021-07-07 17:27:37.535919,P4,2020
78,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:37.563726,P4,2020
79,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:37.580910,P4,2020
80,A1 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:37.604877,P5,2020
81,A1 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.630695,P5,2020
82,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:37.639010,P5,2020
83,A2 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.654082,P5,2020
