,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
39,A2 P4 BPI 2020,Filter activities,Filter activities by sub-processes,2021-10-19 12:47:13.934425,A2,P4,2020,Student,Manipulation
40,A2 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-10-19 12:47:13.934425,A2,P4,2020,Student,Manipulation
41,A2 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:13.950080,A2,P4,2020,Student,Analyze Cycle Time
42,A7 P4 BPI 2020,Group activities,Group activities by role,2021-10-19 12:47:13.950080,A7,P4,2020,Academic,Manipulation
43,A7 P4 BPI 2020,Calculate throughput, ,2021-10-19 12:47:13.965672,A7,P4,2020,Academic,Analyze Cycle Time
44,A7 P4 BPI 2020,Group activities,Group activities by time,2021-10-19 12:47:13.965672,A7,P4,2020,Academic,Manipulation
45,A7 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:13.965672,A7,P4,2020,Academic,Calculate statistics
46,A7 P4 BPI 2020,Represent scatterplot, ,2021-10-19 12:47:13.981292,A7,P4,2020,Academic,Representation
47,A10 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:13.996946,A10,P4,2020,Academic,Representation
48,A10 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:13.996946,A10,P4,2020,Academic,Analyze Cycle Time
49,A12 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:13.996946,A12,P4,2020,Professional,Analyze Cycle Time
50,A13 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.016908,A13,P4,2020,Professional,Representation
51,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.016908,A13,P4,2020,Professional,Analyze Cycle Time
52,A13 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-10-19 12:47:14.034544,A13,P4,2020,Professional,Manipulation
53,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-10-19 12:47:14.034544,A13,P4,2020,Professional,Analyze Cycle Time
54,A18 P4 BPI 2020,Represent process map,Represent process map with frequency,2021-10-19 12:47:14.050172,A18,P4,2020,Academic,Representation
55,A18 P4 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2021-10-19 12:47:14.050172,A18,P4,2020,Academic,Analyze Cycle Time
56,A25 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.072607,A25,P4,2020,Student,Analyze Cycle Time
57,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.081624,A25,P4,2020,Student,Representation
58,A25 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.087566,A25,P4,2020,Student,Analyze Cycle Time
59,A26 P4 BPI 2020,Filter variants depending on frequency, ,2021-10-19 12:47:14.097539,A26,P4,2020,Professional,Manipulation
60,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.100584,A26,P4,2020,Professional,Representation
61,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.100584,A28,P4,2020,Professional,Manipulation
62,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.116254,A28,P4,2020,Professional,Analyze Cycle Time
63,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.116254,A28,P4,2020,Professional,Representation
64,A28 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.133813,A28,P4,2020,Professional,Analyze Cycle Time
65,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.135725,A28,P4,2020,Professional,Manipulation
66,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.152666,A28,P4,2020,Professional,Representation
67,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.160634,A28,P4,2020,Professional,Analyze Cycle Time
68,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.173599,A28,P4,2020,Professional,Representation
69,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.180580,A28,P4,2020,Professional,Manipulation
70,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.191552,A28,P4,2020,Professional,Representation
71,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.203519,A35,P4,2020,Professional,Manipulation
72,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.209503,A35,P4,2020,Professional,Analyze Cycle Time
73,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.218478,A35,P4,2020,Professional,Analyze Cycle Time
74,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:14.226457,A35,P4,2020,Professional,Calculate statistics
75,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.234436,A35,P4,2020,Professional,Calculate statistics
76,A35 P4 BPI 2020,Calculate average of activities per trace, ,2021-10-19 12:47:14.245408,A35,P4,2020,Professional,Calculate statistics
77,A35 P4 BPI 2020,Group traces,Group traces by roles,2021-10-19 12:47:14.255379,A35,P4,2020,Professional,Manipulation
78,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.271339,A35,P4,2020,Professional,Representation
79,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.284302,A37,P4,2020,Professional,Analyze Cycle Time
80,A1 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.301258,A1,P5,2020,Academic,Analyze Cycle Time
81,A1 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.313225,A1,P5,2020,Academic,Analyze Cycle Time
82,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.329184,A2,P5,2020,Student,Analyze Cycle Time
83,A2 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.345141,A2,P5,2020,Student,Analyze Cycle Time
