,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category
51,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.016908,A13,P4,2020,Professional
52,A13 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-10-19 12:47:14.034544,A13,P4,2020,Professional
53,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-10-19 12:47:14.034544,A13,P4,2020,Professional
54,A18 P4 BPI 2020,Represent process map,Represent process map with frequency,2021-10-19 12:47:14.050172,A18,P4,2020,Academic
55,A18 P4 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2021-10-19 12:47:14.050172,A18,P4,2020,Academic
56,A25 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.072607,A25,P4,2020,Student
57,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.081624,A25,P4,2020,Student
58,A25 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.087566,A25,P4,2020,Student
59,A26 P4 BPI 2020,Filter variants depending on frequency, ,2021-10-19 12:47:14.097539,A26,P4,2020,Professional
60,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.100584,A26,P4,2020,Professional
61,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.100584,A28,P4,2020,Professional
62,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.116254,A28,P4,2020,Professional
63,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.116254,A28,P4,2020,Professional
64,A28 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.133813,A28,P4,2020,Professional
65,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.135725,A28,P4,2020,Professional
66,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.152666,A28,P4,2020,Professional
67,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.160634,A28,P4,2020,Professional
68,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.173599,A28,P4,2020,Professional
69,A28 P4 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.180580,A28,P4,2020,Professional
70,A28 P4 BPI 2020,Represent heatmaps, ,2021-10-19 12:47:14.191552,A28,P4,2020,Professional
71,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.203519,A35,P4,2020,Professional
72,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.209503,A35,P4,2020,Professional
73,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.218478,A35,P4,2020,Professional
74,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:14.226457,A35,P4,2020,Professional
75,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.234436,A35,P4,2020,Professional
76,A35 P4 BPI 2020,Calculate average of activities per trace, ,2021-10-19 12:47:14.245408,A35,P4,2020,Professional
77,A35 P4 BPI 2020,Group traces,Group traces by roles,2021-10-19 12:47:14.255379,A35,P4,2020,Professional
78,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.271339,A35,P4,2020,Professional
79,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.284302,A37,P4,2020,Professional
80,A1 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.301258,A1,P5,2020,Academic
81,A1 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.313225,A1,P5,2020,Academic
82,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.329184,A2,P5,2020,Student
83,A2 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.345141,A2,P5,2020,Student
84,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.358106,A2,P5,2020,Student
85,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.374063,A7,P5,2020,Academic
86,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2021-10-19 12:47:14.386032,A7,P5,2020,Academic
87,A7 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.396003,A7,P5,2020,Academic
88,A10 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.409967,A10,P5,2020,Academic
89,A10 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.415485,A10,P5,2020,Academic
90,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.415485,A10,P5,2020,Academic
91,A12 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.444666,A12,P5,2020,Professional
92,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.457631,A12,P5,2020,Professional
93,A12 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.466608,A12,P5,2020,Professional
94,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.482062,A13,P5,2020,Professional
95,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.482062,A13,P5,2020,Professional
96,A13 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.497686,A13,P5,2020,Professional
97,A18 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.513307,A18,P5,2020,Academic
98,A18 P5 BPI 2020,Identify bottlenecks,Identify sub-processes as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.513307,A18,P5,2020,Academic
99,A25 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.528929,A25,P5,2020,Student
100,A25 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.536939,A25,P5,2020,Student
101,A25 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.550107,A25,P5,2020,Student
102,A26 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.550107,A26,P5,2020,Professional
103,A26 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.565730,A26,P5,2020,Professional
104,A28 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.565730,A28,P5,2020,Professional
105,A28 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.585832,A28,P5,2020,Professional
106,A28 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.590819,A28,P5,2020,Professional
107,A35 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.600792,A35,P5,2020,Professional
108,A35 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.607773,A35,P5,2020,Professional
109,A37 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.615659,A37,P5,2020,Professional
110,A37 P5 BPI 2020,Compare cycle time, ,2021-10-19 12:47:14.624618,A37,P5,2020,Professional
111,A37 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.633628,A37,P5,2020,Professional
112,A37 P5 BPI 2020,Calculate frequency,Calculate frequency of attributes,2021-10-19 12:47:14.638615,A37,P5,2020,Professional
113,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-10-19 12:47:14.645582,A37,P5,2020,Professional
114,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.648607,A37,P5,2020,Professional
115,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2021-10-19 12:47:14.648607,A1,P6,2020,Academic
116,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.664274,A1,P6,2020,Academic
